Country,Metric,Metric_Value,Latitude,Longitude
Afghanistan,Alcohol use disorders,339.8904,33.93911,67.709953
Albania,Alcohol use disorders,1852.807496,41.153332,20.168331
Algeria,Alcohol use disorders,438.0991168,28.033886,1.659626
Angola,Alcohol use disorders,804.6918484,-11.202692,17.873887
Argentina,Alcohol use disorders,2252.042994,-38.416097,-63.616672
Armenia,Alcohol use disorders,2254.116195,40.069099,45.038189
Australia,Alcohol use disorders,2011.628925,-25.274398,133.775136
Austria,Alcohol use disorders,2860.15901,47.516231,14.550072
Azerbaijan,Alcohol use disorders,2912.051837,40.143105,47.576927
Bangladesh,Alcohol use disorders,1153.051853,23.684994,90.356331
Belarus,Alcohol use disorders,3300.516487,53.709807,27.953389
Belgium,Alcohol use disorders,2466.975237,50.503887,4.469936
Belize,Alcohol use disorders,1498.593707,17.189877,-88.49765
Benin,Alcohol use disorders,406.7732989,9.30769,2.315834
Bhutan,Alcohol use disorders,2393.282177,27.514162,90.433601
Bolivia,Alcohol use disorders,,-16.290154,-63.588653
Bosnia and Herzegovina,Alcohol use disorders,2350.694025,43.915886,17.679076
Botswana,Alcohol use disorders,1936.401714,-22.328474,24.684866
Brazil,Alcohol use disorders,3157.591698,-14.235004,-51.92528
Brunei,Alcohol use disorders,1048.245306,4.535277,114.727669
Bulgaria,Alcohol use disorders,2046.380132,42.733883,25.48583
Burkina Faso,Alcohol use disorders,411.2137415,12.238333,-1.561593
Burundi,Alcohol use disorders,1048.000898,-3.373056,29.918886
Cambodia,Alcohol use disorders,774.5641407,12.565679,104.990963
Cameroon,Alcohol use disorders,453.6877494,7.369722,12.354722
Canada,Alcohol use disorders,1885.294883,56.130366,-106.346771
Central African Republic,Alcohol use disorders,887.5113991,6.611111,20.939444
Chad,Alcohol use disorders,334.9193477,15.454166,18.732207
Chile,Alcohol use disorders,2914.683112,-35.675147,-71.542969
China,Alcohol use disorders,1462.156718,35.86166,104.195397
Colombia,Alcohol use disorders,2260.268074,4.570868,-74.297333
Costa Rica,Alcohol use disorders,1989.526727,9.748917,-83.753428
Croatia,Alcohol use disorders,2599.957878,45.1,15.2
Cuba,Alcohol use disorders,1734.71596,21.521757,-77.781167
Cyprus,Alcohol use disorders,1866.341984,35.126413,33.429859
Czech Republic,Alcohol use disorders,2627.995978,49.817492,15.472962
Democratic Republic of the Congo,Alcohol use disorders,817.5404745,-4.038333,21.758664
Denmark,Alcohol use disorders,3189.001417,56.26392,9.501785
Djibouti,Alcohol use disorders,1291.438225,11.825138,42.590275
Dominican Republic,Alcohol use disorders,1326.537734,18.735693,-70.162651
East Timor,Alcohol use disorders,602.742203,-8.874217,125.727539
Ecuador,Alcohol use disorders,961.8598106,-1.831239,-78.183406
Egypt,Alcohol use disorders,391.7129077,26.820553,30.802498
El Salvador,Alcohol use disorders,3551.696417,13.794185,-88.89653
Equatorial Guinea,Alcohol use disorders,961.4680461,1.650801,10.267895
Eritrea,Alcohol use disorders,1370.439958,15.179384,39.782334
Estonia,Alcohol use disorders,2109.703841,58.595272,25.013607
Ethiopia,Alcohol use disorders,1989.536727,9.145,40.489673
Fiji,Alcohol use disorders,603.9227849,-16.578193,179.414413
Finland,Alcohol use disorders,2395.414478,61.92411,25.748151
France,Alcohol use disorders,2117.996621,46.227638,2.213749
Gabon,Alcohol use disorders,1101.55903,-0.803689,11.609444
Gambia,Alcohol use disorders,412.5564167,13.443182,-15.310139
Georgia,Alcohol use disorders,2408.772931,42.315407,43.356892
Germany,Alcohol use disorders,2260.315742,51.165691,10.451526
Ghana,Alcohol use disorders,492.2889179,7.946527,-1.023194
Greece,Alcohol use disorders,1611.272734,39.074208,21.824312
Greenland,Alcohol use disorders,3836.621961,71.706936,-42.604303
Guatemala,Alcohol use disorders,3129.056257,15.783471,-90.230759
Guinea,Alcohol use disorders,379.1660603,9.945587,-9.696645
Guinea Bissau,Alcohol use disorders,,11.803749,-15.180413
Guyana,Alcohol use disorders,1901.309014,4.860416,-58.93018
Haiti,Alcohol use disorders,1320.568889,18.971187,-72.285215
Honduras,Alcohol use disorders,2061.403898,15.199999,-86.241905
Hungary,Alcohol use disorders,2682.604973,47.162494,19.503304
Iceland,Alcohol use disorders,2254.38945,64.963051,-19.020835
India,Alcohol use disorders,1142.503277,20.593684,78.96288
Indonesia,Alcohol use disorders,522.5098002,-0.789275,113.921327
Iran,Alcohol use disorders,352.3957728,32.427908,53.688046
Iraq,Alcohol use disorders,405.4541546,33.223191,43.679291
Ireland,Alcohol use disorders,3347.656252,53.41291,-8.24389
Israel,Alcohol use disorders,843.0233499,31.046051,34.851612
Italy,Alcohol use disorders,1496.456934,41.87194,12.56738
Ivory Coast,Alcohol use disorders,451.6355801,7.539989,-5.54708
Jamaica,Alcohol use disorders,1155.679708,18.109581,-77.297508
Japan,Alcohol use disorders,648.5820771,36.204824,138.252924
Jordan,Alcohol use disorders,413.3490725,30.585164,36.238414
Kazakhstan,Alcohol use disorders,3744.07194,48.019573,66.923684
Kenya,Alcohol use disorders,600.1666883,-0.023559,37.906193
Kuwait,Alcohol use disorders,502.1567047,29.31166,47.481766
Kyrgyzstan,Alcohol use disorders,2908.828444,41.20438,74.766098
Laos,Alcohol use disorders,829.2846935,19.85627,102.495496
Latvia,Alcohol use disorders,2668.464225,56.879635,24.603189
Lebanon,Alcohol use disorders,435.2072131,33.854721,35.862285
Lesotho,Alcohol use disorders,2007.580662,-29.609988,28.233608
Liberia,Alcohol use disorders,439.2429876,6.428055,-9.429499
Libya,Alcohol use disorders,498.8368582,26.3351,17.228331
Lithuania,Alcohol use disorders,2520.387705,55.169438,23.881275
Luxembourg,Alcohol use disorders,2617.786189,49.815273,6.129583
Macedonia,Alcohol use disorders,2065.693893,41.608635,21.745275
Madagascar,Alcohol use disorders,1087.109803,-18.766947,46.869107
Malawi,Alcohol use disorders,1116.669263,-13.254308,34.301525
Malaysia,Alcohol use disorders,560.4305888,4.210484,101.975766
Mali,Alcohol use disorders,,17.570692,-3.996166
Mauritania,Alcohol use disorders,369.6185879,21.00789,-10.940835
Mexico,Alcohol use disorders,1363.265463,23.634501,-102.552784
Moldova,Alcohol use disorders,2408.724925,47.411631,28.369885
Mongolia,Alcohol use disorders,4526.174036,46.862496,103.846656
Montenegro,Alcohol use disorders,2126.658976,42.708678,19.37439
Morocco,Alcohol use disorders,432.6794936,31.791702,-7.09262
Mozambique,Alcohol use disorders,1156.075213,-18.665695,35.529562
Myanmar,Alcohol use disorders,803.453734,21.913965,95.956223
Namibia,Alcohol use disorders,1873.710285,-22.95764,18.49041
Nepal,Alcohol use disorders,1138.477081,28.394857,84.124008
Netherlands,Alcohol use disorders,1796.303626,52.132633,5.291266
New Zealand,Alcohol use disorders,3244.373528,-40.900557,174.885971
Nicaragua,Alcohol use disorders,2579.112309,12.865416,-85.207229
Niger,Alcohol use disorders,309.5819457,17.607789,8.081666
Nigeria,Alcohol use disorders,383.0195572,9.081999,8.675277
North Korea,Alcohol use disorders,859.2260552,40.339852,127.510093
Norway,Alcohol use disorders,1744.422429,60.472024,8.468946
Oman,Alcohol use disorders,592.3195562,21.512583,55.923255
Pakistan,Alcohol use disorders,1122.451722,30.375321,69.345116
Palestine,Alcohol use disorders,368.9329372,31.952162,35.233154
Panama,Alcohol use disorders,1576.971648,8.537981,-80.782127
Papua New Guinea,Alcohol use disorders,691.4908502,-6.314993,143.95555
Paraguay,Alcohol use disorders,2618.425202,-23.442503,-58.443832
Peru,Alcohol use disorders,799.2116689,-9.189967,-75.015152
Philippines,Alcohol use disorders,760.2708854,12.879721,121.774017
Poland,Alcohol use disorders,3684.647329,51.919438,19.145136
Portugal,Alcohol use disorders,3172.90261,39.399872,-8.224454
Puerto Rico,Alcohol use disorders,1546.812415,18.220833,-66.590149
Qatar,Alcohol use disorders,723.3415775,25.354826,51.183884
Republic of Congo,Alcohol use disorders,1032.276961,-0.228021,15.827659
Republic of Serbia,Alcohol use disorders,2385.380541,44.016521,21.005859
Romania,Alcohol use disorders,2351.120377,45.943161,24.96676
Russia,Alcohol use disorders,3304.280125,61.52401,105.318756
Rwanda,Alcohol use disorders,2451.708182,-1.940278,29.873888
Saudi Arabia,Alcohol use disorders,562.9074651,23.885942,45.079162
Senegal,Alcohol use disorders,395.0321281,14.497401,-14.452362
Sierra Leone,Alcohol use disorders,420.6541314,8.460555,-11.779889
Slovakia,Alcohol use disorders,2763.746831,48.669026,19.699024
Slovenia,Alcohol use disorders,3043.281217,46.151241,14.995463
Solomon Islands,Alcohol use disorders,588.6809309,-9.64571,160.156194
Somalia,Alcohol use disorders,859.966819,5.152149,46.199616
South Africa,Alcohol use disorders,1970.92407,-30.559482,22.937506
South Korea,Alcohol use disorders,2950.837078,35.907757,127.766922
South Sudan,Alcohol use disorders,970.0464455,,
Spain,Alcohol use disorders,1628.899166,40.463667,-3.74922
Sri Lanka,Alcohol use disorders,892.4750915,7.873054,80.771797
Sudan,Alcohol use disorders,354.791266,12.862807,30.217636
Suriname,Alcohol use disorders,1590.278101,3.919305,-56.027783
Sweden,Alcohol use disorders,2335.896827,60.128161,18.643501
Switzerland,Alcohol use disorders,2544.298323,46.818188,8.227512
Syria,Alcohol use disorders,387.1732545,34.802075,38.996815
Taiwan,Alcohol use disorders,693.1518666,23.69781,120.960515
Tajikistan,Alcohol use disorders,2251.543902,38.861034,71.276093
Thailand,Alcohol use disorders,1327.974373,15.870032,100.992541
The Bahamas,Alcohol use disorders,2106.811779,25.03428,-77.39628
Togo,Alcohol use disorders,439.4676014,8.619543,0.824782
Trinidad and Tobago,Alcohol use disorders,1589.495915,10.691803,-61.222503
